Yelp type,Yelp subtype,Exclude subtype,Yelp unique types,EatNow type,Unique,,Country,Lat,Lon
Czech,,Czech,Hawaiian,Hawaiian,,,,,
Czech/Slovakian,,Czech/Slovakian,Heuriger,Australian,,,,,
Danish,,Danish,Himalayan/Nepalese,Himalayan/Nepalese,,,,,
Delis,,Delis,Hong_Kong_Style_Cafe,Chinese,,,,,
Diners,,Diners,Hot_Dogs,Fast_Food,,,,,
Dumplings,,Dumplings,Hot_Pot,Asian,,,,,
Eastern European,,Eastern_European,Hungarian,Eastern_European,,,,,
Ethiopian,,Ethiopian,Iberian,Spanish,,,,,
Fast Food,,Fast_Food,Indian,Indian,,,,,
Filipino,,Filipino,Indonesian,Indonesian,,,,,
Fischbroetchen,,Fischbroetchen,International,French,,,,,
Fish & Chips,,Fish_&_Chips,Irish,British,,,,,
Fondue,,Fondue,Island_Pub,Pubs,,,,,
Food Court,,Food_Court,Israeli,Middle_Eastern,,,,,
Food Stands,,Food_Stands,Italian,Italian,,,,,
French,,French,Japanese,Japanese,,,,,
,Alsatian,French,Jewish,Middle_Eastern,,,,,
,Auvergnat,French,Kebab,Middle_Eastern,,,,,
,Berrichon,French,Korean,Korean,,,,,
,Bourguignon,French,Kosher,Middle_Eastern,,,,,
,Nicoise,French,Kurdish,Persian,,,,,
,Provencal,French,Laos,Laos,,,,,
French Southwest,,French_Southwest,Laotian,Laos,,,,,
Galician,,Galician,Latin_American,Latin_American,,,,,
Gastropubs,,Gastropubs,Live/Raw_Food,Seafood,,,,,
Georgian,,Georgian,Lyonnais,French,,,,,
German,,German,Malaysian,Malaysian,,,,,
,Baden,German,Meatballs,Delis,,,,,
,Eastern German,German,Mediterranean,Mediterranean,,,,,
,Hessian,German,Mexican,Mexican,,,,,
,Northern German,German,Eastern_Mexican,Mexican,,,,,
,Palatine,German,Middle_Eastern,Middle_Eastern,,,,,
,Rhinelandian,German,Milk_Bars,Australian,,,,,
Giblets,,Giblets,Modern_Australian,American_(New),,,,,
Gluten-Free,,Gluten-Free,Modern_European,American_(New),,,,,
Greek,,Greek,Mongolian,Mongolian,,,,,
Halal,,Halal,Moroccan,Moroccan,,,,,
Hawaiian,,Hawaiian,New_Zealand,New_Zealand,,,,,
Heuriger,,Heuriger,Night_Food,Night_Food,,,,,
Himalayan/Nepalese,,Himalayan/Nepalese,Norcinerie,Italian,,,,,
Hong Kong Style Cafe,,Hong_Kong_Style_Cafe,Open_Sandwiches,Fast_Food,,,,,
Hot Dogs,,Hot_Dogs,Oriental,Asian,,,,,
Hot Pot,,Hot_Pot,Pakistani,Pakistani,,,,,
Hungarian,,Hungarian,Parent_Cafes,Cafes,,,,,
Iberian,,Iberian,Parma,Australian,,,,,
Indian,,Indian,Persian/Iranian,Persian,,,,,
Indonesian,,Indonesian,Peruvian,Peruvian,,,,,
International,,International,Pita,Turkish,,,,,
Irish,,Irish,Pizza,Fast_Food,,,,,
Island Pub,,Island_Pub,Polish,Polish,,,,,
Israeli,,Israeli,Portuguese,Spanish,,,,,
Italian,,Italian,Potatoes,Fast_Food,,,,,
,Abruzzese,Italian,Poutineries,American_(Traditional),,,,,
,Altoatesine,Italian,Pub_Food,Pubs,,,,,
,Apulian,Italian,Rice,Chinese,,,,,
,Calabrian,Italian,Romanian,Eastern_European,,,,,
,Cucina campana,Italian,Rotisserie_Chicken,Delis,,,,,
,Emilian,Italian,Rumanian,Eastern_European,,,,,
,Friulan,Italian,Russian,Russian,,,,,
,Ligurian,Italian,Salad,Healthy,,,,,
,Lumbard,Italian,Sandwiches,Delis,,,,,
,Napoletana,Italian,Scandinavian,Northern_European,,,,,
,Piemonte,Italian,Scottish,British,,,,,
,Roman,Italian,Seafood,Seafood,,,,,
,Sardinian,Italian,Serbo_Croatian,Mediterranean,,,,,
,Sicilian,Italian,Signature_Cuisine,International,,,,,
,Tuscan,Italian,Singaporean,Singaporean,,,,,
,Venetian,Italian,Slovakian,Eastern_European,,,,,
Japanese,,Japanese,Soul_Food,Healthy,,,,,
,Blowfish,Japanese,Soup,Delis,,,,,
,Conveyor Belt Sushi,Japanese,Southern,Southern,,,,,
,Donburi,Japanese,Spanish,Spanish,,,,,
,Gyudon,Japanese,Steakhouses,Steakhouses,,,,,
,Oyakodon,Japanese,Sushi_Bars,Japanese,,,,,
,Hand Rolls,Japanese,Swabian,German,,,,,
,Horumon,Japanese,Swedish,Northern_European,,,,,
,Izakaya,Japanese,Swiss_Food,Northern_European,,,,,
,Japanese Curry,Japanese,Tabernas,Spanish,,,,,
,Kaiseki,Japanese,Taiwanese,Taiwanese,,,,,
,Kushikatsu,Japanese,Tapas_Bars,Spanish,,,,,
,Oden,Japanese,Tapas/Small_Plates,Spanish,,,,,
,Okinawan,Japanese,Tex-Mex,Mexican,,,,,
,Okonomiyaki,Japanese,Thai,Thai,,,,,
,Onigiri,Japanese,Traditional_Norwegian,Northern_European,,,,,
,Ramen,Japanese,Traditional_Swedish,Northern_European,,,,,
,Robatayaki,Japanese,Trattorie,Italian,,,,,
,Soba,Japanese,Turkish,Turkish,,,,,
,Sukiyaki,Japanese,Ukrainian,Ukrainian,,,,,
,Takoyaki,Japanese,Uzbek,Russian,,,,,
,Tempura,Japanese,Vegan,Vegetarian,,,,,
,Teppanyaki,Japanese,Vegetarian,Vegetarian,,,,,
,Tonkatsu,Japanese,Venison,Italian,,,,,
,Udon,Japanese,Vietnamese,Vietnamese,,,,,
,Unagi,Japanese,Wok,Chinese,,,,,
,Western Style Japanese Food,Japanese,Wraps,Fast_Food,,,,,
,Yakiniku,Japanese,Yugoslav,Eastern_European,,,,,
,Yakitori,Japanese,Wine_Bars,Bars,,,,,
Jewish,,Jewish,Sports_Bars,Bars,,,,,
Kebab,,Kebab,"Beer,_Wine_&_Spirits",Bars,,,,,
Korean,,Korean,Tea_Rooms,Tea_Rooms,,,,,
Kosher,,Kosher,Seafood_Markets,Delis,,,,,
Kurdish,,Kurdish,Pubs,Pubs,,,,,
Laos,,Laos,Nightlife,Night_Food,,,,,
Laotian,,Laotian,Bubble_Tea,Bubble_Tea,,,,,
Latin American,,Latin_American,,,,,,,
,Colombian,Latin_American,,,,,,,
,Salvadoran,Latin_American,,,,,,,
,Venezuelan,Latin_American,,,,,,,
Live/Raw Food,,Live/Raw_Food,,,,,,,
Lyonnais,,Lyonnais,,,,,,,
Malaysian,,Malaysian,,,,,,,
,Mamak,Malaysian,,,,,,,
,Nyonya,Malaysian,,,,,,,
Meatballs,,Meatballs,,,,,,,
Mediterranean,,Mediterranean,,,,,,,
,Falafel,Mediterranean,,,,,,,
Mexican,,Mexican,,,,,,,
Eastern Mexican,,Eastern_Mexican,,,,,,,
,Jaliscan,Eastern_Mexican,,,,,,,
,Northern Mexican,Eastern_Mexican,,,,,,,
,Oaxacan,Eastern_Mexican,,,,,,,
,Pueblan,Eastern_Mexican,,,,,,,
,Tacos,Eastern_Mexican,,,,,,,
,Tamales,Eastern_Mexican,,,,,,,
,Yucatan,Eastern_Mexican,,,,,,,
Middle Eastern,,Middle_Eastern,,,,,,,
,Egyptian,Middle_Eastern,,,,,,,
,Lebanese,Middle_Eastern,,,,,,,
Milk Bars,,Milk_Bars,,,,,,,
Modern Australian,,Modern_Australian,,,,,,,
Modern European,,Modern_European,,,,,,,
Mongolian,,Mongolian,,,,,,,
Moroccan,,Moroccan,,,,,,,
New Zealand,,New_Zealand,,,,,,,
Night Food,,Night_Food,,,,,,,
Norcinerie,,Norcinerie,,,,,,,
Open Sandwiches,,Open_Sandwiches,,,,,,,
Oriental,,Oriental,,,,,,,
Pakistani,,Pakistani,,,,,,,
Parent Cafes,,Parent_Cafes,,,,,,,
Parma,,Parma,,,,,,,
Persian/Iranian,,Persian/Iranian,,,,,,,
Peruvian,,Peruvian,,,,,,,
Pita,,Pita,,,,,,,
Pizza,,Pizza,,,,,,,
Polish,,Polish,,,,,,,
,Pierogis,Polish,,,,,,,
Portuguese,,Portuguese,,,,,,,
,Alentejo,Portuguese,,,,,,,
,Algarve,Portuguese,,,,,,,
,Azores,Portuguese,,,,,,,
,Beira,Portuguese,,,,,,,
,Fado Houses,Portuguese,,,,,,,
,Madeira,Portuguese,,,,,,,
,Minho,Portuguese,,,,,,,
,Ribatejo,Portuguese,,,,,,,
,Tras-os-Montes,Portuguese,,,,,,,
Potatoes,,Potatoes,,,,,,,
Poutineries,,Poutineries,,,,,,,
Pub Food,,Pub_Food,,,,,,,
Rice,,Rice,,,,,,,
Romanian,,Romanian,,,,,,,
Rotisserie Chicken,,Rotisserie_Chicken,,,,,,,
Rumanian,,Rumanian,,,,,,,
Russian,,Russian,,,,,,,
Salad,,Salad,,,,,,,
Sandwiches,,Sandwiches,,,,,,,
Scandinavian,,Scandinavian,,,,,,,
Scottish,,Scottish,,,,,,,
Seafood,,Seafood,,,,,,,
Serbo Croatian,,Serbo_Croatian,,,,,,,
Signature Cuisine,,Signature_Cuisine,,,,,,,
Singaporean,,Singaporean,,,,,,,
Slovakian,,Slovakian,,,,,,,
Soul Food,,Soul_Food,,,,,,,
Soup,,Soup,,,,,,,
Southern,,Southern,,,,,,,
Spanish,,Spanish,,,,,,,
,Arroceria / Paella,Spanish,,,,,,,
Steakhouses,,Steakhouses,,,,,,,
Sushi Bars,,Sushi_Bars,,,,,,,
Swabian,,Swabian,,,,,,,
Swedish,,Swedish,,,,,,,
Swiss Food,,Swiss_Food,,,,,,,
Tabernas,,Tabernas,,,,,,,
Taiwanese,,Taiwanese,,,,,,,
Tapas Bars,,Tapas_Bars,,,,,,,
Tapas/Small Plates,,Tapas/Small_Plates,,,,,,,
Tex-Mex,,Tex-Mex,,,,,,,
Thai,,Thai,,,,,,,
Traditional Norwegian,,Traditional_Norwegian,,,,,,,
Traditional Swedish,,Traditional_Swedish,,,,,,,
Trattorie,,Trattorie,,,,,,,
Turkish,,Turkish,,,,,,,
,Chee Kufta,Turkish,,,,,,,
,Gozleme,Turkish,,,,,,,
,Turkish Ravioli,Turkish,,,,,,,
Ukrainian,,Ukrainian,,,,,,,
Uzbek,,Uzbek,,,,,,,
Vegan,,Vegan,,,,,,,
Vegetarian,,Vegetarian,,,,,,,
Venison,,Venison,,,,,,,
Vietnamese,,Vietnamese,,,,,,,
Wok,,Wok,,,,,,,
Wraps,,Wraps,,,,,,,
Yugoslav,,Yugoslav,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Additional types,,,,,,,,,
Wine_Bars,,,,,,,,,
Sports_Bars,,,,,,,,,
"Beer,_Wine_&_Spirits",,,,,,,,,
Tea_Rooms,,,,,,,,,
Seafood_Markets,,,,,,,,,
Pubs,,,,,,,,,
Nightlife,,,,,,,,,
Bubble_Tea,,,,,,,,,
