Brasseries,0.55%,7.37%,10.28%,9.88%,10.10%,-0.05%,16.57%,22.40%,0.54%,22.85%,100.00%,7.44%,16.45%,55.24%,2.07%,25.70%,0.47%,3.93%,9.16%,47.25%,6.84%,2.40%,-0.03%,19.52%,10.10%,-0.03%,3.29%,12.14%,2.49%,2.16%,6.30%,22.79%,4.55%,4.62%,0.94%,3.38%,6.91%,6.32%,20.29%,2.08%,17.36%,10.33%,7.24%,1.63%,5.91%,13.89%,9.96%,7.03%,8.93%,13.48%,1.35%,1.45%,31.70%,13.29%,8.61%,2.60%,1.59%,3.61%,1.98%,14.57%,10.71%,15.58%,9.74%,20.18%,10.64%,33.56%,1.97%,10.07%,5.03%
Brazilian,1.86%,5.36%,12.54%,26.54%,8.33%,0.58%,11.62%,0.81%,0.09%,5.28%,7.44%,100.00%,14.19%,8.39%,7.79%,13.61%,0.83%,14.21%,8.43%,12.28%,6.33%,11.82%,2.57%,14.85%,12.72%,2.35%,4.03%,17.88%,8.20%,3.50%,14.83%,8.11%,5.52%,7.18%,3.13%,7.41%,17.28%,1.95%,5.79%,1.44%,11.21%,10.15%,7.74%,4.12%,30.86%,4.20%,9.70%,12.85%,5.60%,15.16%,2.83%,7.87%,14.85%,6.24%,3.41%,4.56%,21.04%,3.59%,3.29%,19.65%,10.47%,11.11%,15.61%,6.41%,7.11%,4.54%,3.67%,9.29%,6.36%
Breakfast,5.78%,9.32%,68.48%,8.34%,43.68%,0.79%,52.02%,1.93%,4.17%,3.97%,16.45%,14.19%,100.00%,32.72%,23.97%,50.29%,8.38%,27.12%,44.72%,43.12%,27.02%,17.43%,-0.10%,67.84%,44.79%,-0.10%,11.40%,64.63%,36.02%,15.43%,31.45%,33.78%,20.43%,39.81%,17.16%,26.88%,58.72%,3.39%,26.69%,2.62%,61.38%,42.04%,22.48%,7.71%,34.72%,9.75%,46.69%,60.15%,29.59%,68.11%,19.46%,7.34%,62.28%,20.02%,20.48%,14.76%,11.00%,13.14%,4.42%,45.28%,43.80%,27.92%,42.43%,16.85%,39.01%,8.05%,6.76%,41.67%,28.61%
British,9.99%,9.85%,51.92%,7.88%,15.33%,1.25%,25.63%,12.57%,2.00%,46.09%,55.24%,8.39%,32.72%,100.00%,6.99%,33.30%,3.64%,11.26%,15.43%,55.39%,10.70%,8.45%,36.37%,39.73%,20.85%,30.04%,11.24%,34.36%,17.06%,4.82%,15.37%,56.77%,43.79%,33.45%,17.16%,6.31%,24.13%,9.53%,21.41%,1.63%,49.08%,13.30%,8.81%,20.38%,11.27%,10.05%,36.33%,17.13%,22.97%,31.27%,10.01%,28.09%,58.51%,42.79%,16.47%,15.44%,4.38%,37.88%,23.99%,26.81%,48.29%,43.46%,45.81%,27.26%,13.06%,38.76%,26.78%,23.32%,9.25%
Buffets,1.25%,6.31%,31.90%,4.23%,20.96%,0.18%,15.48%,-0.09%,-0.12%,-0.34%,2.07%,7.79%,23.97%,6.99%,100.00%,14.67%,1.90%,11.69%,45.97%,7.05%,6.18%,14.51%,-0.09%,24.64%,20.83%,-0.09%,5.19%,33.52%,20.88%,11.99%,15.79%,11.63%,6.26%,18.14%,34.85%,14.10%,23.26%,-0.12%,41.21%,-0.11%,21.15%,17.46%,13.20%,5.49%,8.08%,7.19%,20.78%,33.66%,30.46%,16.81%,23.26%,1.39%,14.14%,7.19%,47.02%,4.77%,3.30%,3.33%,0.60%,22.08%,16.19%,10.82%,18.89%,4.38%,17.89%,0.87%,4.15%,15.66%,13.15%
Cafes,4.06%,7.81%,43.02%,10.60%,34.71%,0.24%,46.02%,4.06%,2.47%,3.01%,25.70%,13.61%,50.29%,33.30%,14.67%,100.00%,5.96%,18.46%,33.24%,49.11%,18.14%,12.81%,0.24%,46.05%,36.29%,0.24%,8.81%,43.08%,23.48%,15.28%,29.12%,28.03%,14.37%,26.22%,9.20%,22.94%,36.30%,4.83%,23.52%,2.85%,43.26%,34.78%,22.24%,7.54%,22.90%,14.77%,33.64%,38.17%,20.07%,45.33%,10.60%,6.56%,44.49%,17.44%,13.19%,11.56%,8.06%,8.11%,5.05%,34.32%,28.99%,26.87%,30.24%,20.36%,31.09%,15.45%,7.29%,30.67%,23.76%
Cambodian,13.53%,4.61%,5.06%,1.21%,26.07%,5.70%,4.84%,26.49%,1.11%,2.38%,0.47%,0.83%,8.38%,3.64%,1.90%,5.96%,100.00%,3.58%,21.76%,5.56%,2.87%,1.44%,2.99%,7.92%,4.11%,3.48%,7.31%,6.20%,5.06%,30.10%,3.98%,4.10%,4.92%,6.13%,7.68%,2.81%,8.32%,21.44%,18.98%,27.07%,6.89%,15.25%,17.71%,4.57%,4.40%,36.74%,6.07%,4.79%,9.84%,10.59%,15.74%,2.09%,8.79%,4.92%,15.54%,8.98%,1.12%,5.85%,4.89%,4.92%,4.05%,2.80%,3.29%,4.01%,46.06%,4.57%,4.23%,8.49%,41.23%
Caribbean,3.10%,4.14%,20.03%,10.20%,11.33%,0.73%,19.94%,0.44%,2.45%,5.78%,3.93%,14.21%,27.12%,11.26%,11.69%,18.46%,3.58%,100.00%,11.53%,15.74%,9.19%,48.47%,3.65%,25.03%,16.50%,3.02%,4.97%,25.01%,15.84%,5.11%,16.35%,10.33%,7.67%,12.24%,7.25%,11.66%,25.85%,1.34%,8.05%,1.10%,16.30%,10.97%,6.35%,3.80%,29.37%,2.10%,14.03%,37.37%,10.90%,29.18%,5.87%,8.93%,26.38%,8.75%,6.58%,5.24%,21.55%,7.01%,3.38%,22.00%,16.27%,11.26%,15.11%,8.06%,10.76%,3.85%,4.32%,21.32%,7.87%
Chinese,16.40%,5.81%,29.88%,5.63%,56.17%,3.41%,35.63%,20.16%,1.34%,4.93%,9.16%,8.43%,44.72%,15.43%,45.97%,33.24%,21.76%,11.53%,100.00%,26.28%,14.54%,11.07%,4.89%,48.12%,36.46%,5.28%,11.21%,55.09%,33.50%,32.33%,37.01%,15.05%,12.17%,23.12%,19.02%,20.81%,44.79%,20.43%,34.60%,11.14%,27.49%,52.13%,57.71%,9.78%,12.50%,24.68%,24.50%,27.10%,23.62%,41.92%,45.56%,5.23%,39.39%,15.43%,31.35%,16.29%,5.97%,11.68%,10.49%,44.90%,21.17%,15.26%,20.99%,14.04%,41.43%,8.79%,10.32%,33.11%,47.67%
Coffee,3.15%,9.41%,30.82%,9.67%,26.66%,0.68%,39.07%,10.99%,1.38%,4.64%,47.25%,12.28%,43.12%,55.39%,7.05%,49.11%,5.56%,15.74%,26.28%,100.00%,24.21%,7.26%,-0.09%,46.50%,28.48%,-0.09%,7.31%,36.08%,16.41%,9.50%,23.00%,25.25%,11.08%,19.65%,7.35%,14.75%,28.98%,11.62%,30.72%,3.32%,36.34%,27.39%,18.03%,4.15%,19.17%,15.26%,28.46%,27.64%,19.38%,35.86%,6.71%,5.53%,47.89%,18.59%,17.80%,8.21%,7.65%,10.26%,4.41%,24.64%,23.41%,21.08%,18.15%,32.66%,27.01%,29.27%,3.99%,33.52%,18.78%
