Cuisine,breakfast,lunch,dessert,dinner,latenight,brunch
Taiwanese,6%,55%,0%,39%,0%,18%,Southern,0,0,26,20,2,3,51
Thai,3%,29%,0%,68%,0%,7%,Spanish,0,0,7,21,2,1,31
Ukrainian,2%,13%,1%,83%,1%,28%,Steakhouses,3,4,41,296,5,6,355
Vegetarian,5%,50%,10%,30%,5%,5%,Taiwanese,2,1,9,6,1,1,20
Vietnamese,0%,6%,9%,69%,16%,29%,Tapas_Bars,3,5,1,22,1,0,32
Tea_Rooms,0%,57%,0%,41%,2%,25%,Thai,0,6,184,133,1,0,324
Bubble_Tea,0%,50%,8%,42%,0%,40%,Turkish,1,0,6,5,0,0,12
,10%,40%,10%,40%,10%,40%,Ukrainian,0,0,0,1,0,0,1
,10%,40%,10%,40%,10%,31%,Uzbek,0,0,0,0,0,0,0
,6%,59%,7%,25%,2%,37%,Vegan,6,2,46,20,2,5,81
,1%,71%,0%,27%,0%,33%,Vegetarian,0,0,97,39,4,2,142
,0%,63%,0%,34%,3%,40%,Vietnamese,0,5,102,56,4,0,167
